"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Estimated number of people per square mile, between 2015-2019."
"98022","98022","=""98022""","52.27"
"98045","98045","=""98045""","45.52"
"98288","98288","=""98288""","1.09"
"98224","98224","=""98224""","1.09"
"98019","98019","=""98019""","156.51"
"98065","98065","=""98065""","215.37"
"98038","98038","=""98038""","540.05"
"98027","98027","=""98027""","555.18"
"98051","98051","=""98051""","87.11"
"98070","98070","=""98070""","278.69"
"98014","98014","=""98014""","149.49"
"98092","98092","=""98092""","1072.17"
"98042","98042","=""98042""","1708.16"
"98053","98053","=""98053""","775.35"
"98024","98024","=""98024""","288.09"
"98052","98052","=""98052""","3492.93"
"98059","98059","=""98059""","1950.06"
"98058","98058","=""98058""","2310.77"
"98001","98001","=""98001""","1812.37"
"98072","98072","=""98072""","1320.62"
"98077","98077","=""98077""","777.34"
"98032","98032","=""98032""","2335.86"
"98010","98010","=""98010""","372.10"
"98040","98040","=""98040""","4061.24"
"98074","98074","=""98074""","2694.37"
"98003","98003","=""98003""","4264.51"
"98023","98023","=""98023""","4867.92"
"98006","98006","=""98006""","3536.54"
"98075","98075","=""98075""","2531.25"
"98033","98033","=""98033""","4335.41"
"98034","98034","=""98034""","4796.36"
"98056","98056","=""98056""","4744.11"
"98168","98168","=""98168""","3755.68"
"98029","98029","=""98029""","3266.90"
"98118","98118","=""98118""","7870.97"
"98115","98115","=""98115""","8212.94"
"98004","98004","=""98004""","5121.18"
"98198","98198","=""98198""","4878.36"
"98008","98008","=""98008""","4652.36"
"98155","98155","=""98155""","4629.36"
"98011","98011","=""98011""","4130.57"
"98108","98108","=""98108""","3157.24"
"98188","98188","=""98188""","3340.59"
"98031","98031","=""98031""","5047.29"
"98005","98005","=""98005""","2563.65"
"98133","98133","=""98133""","6856.85"
"98002","98002","=""98002""","4682.33"
"98166","98166","=""98166""","3780.65"
"98030","98030","=""98030""","5425.94"
"98177","98177","=""98177""","3627.87"
"98125","98125","=""98125""","7973.72"
"98105","98105","=""98105""","12229.61"
"98028","98028","=""98028""","4022.76"
"98057","98057","=""98057""","2104.02"
"98178","98178","=""98178""","5639.04"
"98106","98106","=""98106""","4717.95"
"98039","98039","=""98039""","2245.69"
"98199","98199","=""98199""","5424.42"
"98146","98146","=""98146""","5973.60"
"98103","98103","=""98103""","11469.06"
"98144","98144","=""98144""","9533.73"
"98055","98055","=""98055""","5091.08"
"98112","98112","=""98112""","8060.48"
"98117","98117","=""98117""","9247.82"
"98007","98007","=""98007""","6690.30"
"98134","98134","=""98134""","246.90"
"98126","98126","=""98126""","7692.56"
"98116","98116","=""98116""","9246.86"
"98122","98122","=""98122""","16986.67"
"98050","98050","=""98050""","130.59"
"98136","98136","=""98136""","7393.65"
"98148","98148","=""98148""","3946.09"
"98119","98119","=""98119""","10799.52"
"98107","98107","=""98107""","12559.32"
"98109","98109","=""98109""","15197.22"
"98047","98047","=""98047""","2950.03"
"98158","98158","=""98158""","0.00"
"98102","98102","=""98102""","20225.03"
"98104","98104","=""98104""","18740.02"
"98121","98121","=""98121""","44241.80"
"98101","98101","=""98101""","25985.63"
"98195","98195","=""98195""","687.30"
"98164","98164","=""98164""","50014.13"
"98154","98154","=""98154""","0.00"
"98174","98174","=""98174""","0.00"

"Location: King (County, 2010)"

"Zip Code Tabulation Area Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
